Hochschulname,Land,Hochschultyp,Trägerschaft,Promotionsrecht,Gründungsjahr,AnzahlStudierende,MitgliedschaftHRK
Otto-von-Guericke-Universität Magdeburg,ST,Universität,öffentlich-rechtlich,ja,1993,13143,ja (Gruppe der Universitäten)
Hochschule Mainz,RP,Fachhochschule / HAW,öffentlich-rechtlich,nein,1996,5792,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Technische Hochschule Mannheim,BW,Fachhochschule / HAW,öffentlich-rechtlich,[ja][Anmerkung 2],1898,5581,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Hochschule der Bundesagentur für Arbeit,BW,Verwaltungshochschule,öffentlich-rechtlich,nein,2006,1613,nein
Hochschule der Wirtschaft für Management,BW,Fachhochschule / HAW,privat,nein,2011,397,nein
Staatliche Hochschule für Musik und Darstellende Kunst Mannheim,BW,Künstlerische Hochschule,öffentlich-rechtlich,ja,1971,586,ja (Gruppe der Künstlerischen Hochschulen)
Universität Mannheim,BW,Universität,öffentlich-rechtlich,ja,1907,11532,ja (Gruppe der Universitäten)
Evangelische Hochschule Tabor,HE,Fachhochschule / HAW,privat,nein,1909,200,nein
Archivschule Marburg – Hochschule für Archivwissenschaft,HE,Verwaltungshochschule,öffentlich-rechtlich,nein,1949,65,nein
Philipps-Universität Marburg,HE,Universität,öffentlich-rechtlich,ja,1527,21723,ja (Gruppe der Universitäten)
"Fachhochschule für öffentliche Verwaltung, Polizei und Rechtspflege des Landes Mecklenburg-Vorpommern",MV,Verwaltungshochschule,öffentlich-rechtlich,nein,1991,698,"nein"""
Hochschule Merseburg,ST,Fachhochschule / HAW,öffentlich-rechtlich,ja,1992,3018,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Technische Hochschule Mittelhessen – THM,HE,Fachhochschule / HAW,öffentlich-rechtlich,ja,1971,17930,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
"Hochschule Mittweida, University of Applied Sciences",SN,Fachhochschule / HAW,öffentlich-rechtlich,nein,1867,6814,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Akademie der Bildenden Künste München,BY,Künstlerische Hochschule,öffentlich-rechtlich,ja,1808,777,ja (Gruppe der Künstlerischen Hochschulen)
Hochschule für angewandte Wissenschaften München,BY,Fachhochschule / HAW,öffentlich-rechtlich,nein,1971,18192,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Hochschule der Bayerischen Wirtschaft für angewandte Wissenschaften – HDBW,BY,Fachhochschule / HAW,privat,nein,2012,393,nein
Hochschule für Fernsehen und Film München,BY,Künstlerische Hochschule,öffentlich-rechtlich,ja,1966,370,nein
Hochschule für Musik und Theater München,BY,Künstlerische Hochschule,öffentlich-rechtlich,ja,1830,1183,ja (Gruppe der Künstlerischen Hochschulen)
Internationale Hochschule SDI München – Hochschule für angewandte Wissenschaften,BY,Fachhochschule / HAW,privat,nein,2007,263,nein
Munich Business School,BY,Fachhochschule / HAW,privat,nein,1991,567,nein
Technische Universität München,BY,Universität,öffentlich-rechtlich,ja,1868,47751,ja (Gruppe der Universitäten)
Ludwig-Maximilians-Universität München,BY,Universität,öffentlich-rechtlich,ja,1472,51007,ja (Gruppe der Universitäten)
Universität der Bundeswehr München,BY,Universität,öffentlich-rechtlich,ja,1973,3973,ja (Gruppe der Universitäten)
FH Münster University of Applied Sciences,NW,Fachhochschule / HAW,öffentlich-rechtlich,[ja][Anmerkung 1],1971,15297,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
"Kunstakademie Münster, Hochschule für Bildende Künste",NW,Künstlerische Hochschule,öffentlich-rechtlich,ja,1971,359,"ja (Gruppe der Künstlerischen Hochschulen)"""
Universität Münster,NW,Universität,öffentlich-rechtlich,ja,1780,43728,ja (Gruppe der Universitäten)
Hochschule Neubrandenburg – University of Applied Sciences,MV,Fachhochschule / HAW,öffentlich-rechtlich,nein,1991,2192,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Medizinische Hochschule Brandenburg Theodor Fontane,BB,Universität,privat,nein,2014,580,nein
